ID_CLIENTE,DIAS_DESDE_CREDITO,MONTO_DEUDA_ACTUAL_MXN,CREDITO_ACTIVO
100000.0,-322,2410.67,Activo
100000.0,-683,1281.4,Activo
100000.0,-827,11454.21,Activo
100000.0,-464,13117.37,Cerrado
100000.0,-56,7606.99,Activo
100000.0,-172,12665.01,Cerrado
100000.0,-170,4795.18,Activo
100000.0,-55,12024.48,Cerrado
100001.0,-946,3459.77,Activo
100001.0,-152,6809.74,Cerrado
100001.0,-730,3115.64,Activo
100001.0,-595,7103.4,Cerrado
100002.0,-537,273447.11,Activo
100003.0,-678,11919.89,Activo
100003.0,-82,5328.57,Cerrado
100003.0,-880,11227.15,Activo
100003.0,-620,12057.14,Activo
100003.0,-270,13041.58,Cerrado
100004.0,-631,10452.72,Cerrado
100004.0,-579,1053.03,Activo
100004.0,-665,5918.08,Activo
100004.0,-720,9504.19,Activo
100004.0,-735,5087.51,Cerrado
100004.0,-532,6553.77,Activo
100005.0,-1267,273121.08,Activo
100005.0,-2808,79157.81,Cerrado
100006.0,-87,4731.91,Activo
100006.0,-557,1155.49,Cerrado
100006.0,-482,1777.35,Cerrado
100006.0,-313,13905.74,Activo
100007.0,-2880,206571.08,Activo
100007.0,-1309,188801.42,Activo
100007.0,-1653,54294.14,Activo
100008.0,-2880,299709.89,Activo
100008.0,-1694,109994.38,Activo
100008.0,-2196,189192.79,Cerrado
100009.0,-2543,261823.7,Cerrado
100010.0,-706,1147.63,Activo
100010.0,-212,7374.15,Activo
100010.0,-307,1388.4,Activo
100010.0,-573,11279.6,Activo
100011.0,-948,9910.1,Activo
100011.0,-968,12309.77,Activo
100011.0,-91,10331.06,Activo
100011.0,-785,13338.21,Activo
100011.0,-823,12434.31,Activo
100011.0,-11,9282.19,Activo
100012.0,-598,3207.0,Activo
100012.0,-170,6589.91,Cerrado
100012.0,-511,11673.73,Cerrado
100012.0,-201,14384.43,Activo
100012.0,-265,2537.52,Cerrado
100012.0,-506,6894.84,Activo
100012.0,-142,9432.27,Activo
100012.0,-621,8199.75,Activo
100013.0,-2042,59427.26,Activo
100013.0,-993,146383.8,Activo
100014.0,-431,3565.93,Activo
100014.0,-970,14058.31,Activo
100014.0,-472,11693.2,Cerrado
100014.0,-280,11105.25,Activo
100014.0,-817,9137.47,Activo
100015.0,-296,9776.12,Activo
100015.0,-574,13967.4,Cerrado
100015.0,-902,1521.98,Activo
100015.0,-157,4556.33,Activo
100015.0,-994,7482.13,Activo
100015.0,-958,14780.67,Activo
100015.0,-200,1938.28,Activo
100015.0,-429,9604.33,Cerrado
100016.0,-1729,62120.87,Cerrado
100016.0,-1026,84813.09,Cerrado
100017.0,-400,2665.93,Activo
100017.0,-310,12991.75,Activo
100017.0,-374,14752.24,Cerrado
100017.0,-588,2616.87,Cerrado
100017.0,-255,13604.99,Activo
100017.0,-377,2672.85,Activo
100018.0,-2115,63511.52,Activo
100018.0,-319,56544.86,Activo
100019.0,-733,39071.47,Activo
100019.0,-103,157480.59,Activo
100020.0,-843,2561.83,Activo
100020.0,-911,4733.28,Cerrado
100020.0,-692,12518.57,Activo
100020.0,-946,4853.72,Cerrado
100020.0,-71,11610.0,Activo
100020.0,-662,8942.1,Cerrado
100020.0,-989,11080.19,Cerrado
100020.0,-614,3252.77,Cerrado
100021.0,-787,3998.07,Activo
100021.0,-934,6851.2,Activo
100021.0,-964,10989.61,Activo
100021.0,-156,2983.79,Activo
100022.0,-310,9100.85,Activo
100022.0,-447,12402.7,Activo
100022.0,-653,13362.73,Activo
100022.0,-962,1378.81,Activo
100022.0,-951,8111.48,Activo
100022.0,-920,6987.98,Activo
100023.0,-2625,109641.92,Activo
100024.0,-331,12268.83,Activo
100024.0,-54,8095.76,Activo
100024.0,-563,1162.22,Cerrado
100024.0,-944,2560.99,Activo
100024.0,-467,14893.8,Activo
100025.0,-2893,76064.15,Activo
100025.0,-1503,194516.86,Cerrado
100025.0,-783,96479.59,Cerrado
100026.0,-365,6445.33,Activo
100026.0,-16,10587.76,Activo
100026.0,-482,4837.72,Activo
100026.0,-261,8149.33,Cerrado
100026.0,-68,2700.31,Activo
100026.0,-568,2801.4,Cerrado
100026.0,-791,10307.18,Cerrado
100027.0,-675,12847.53,Activo
100027.0,-975,3572.16,Cerrado
100027.0,-614,5097.41,Activo
100027.0,-569,5588.78,Cerrado
100028.0,-646,13192.78,Activo
100028.0,-317,12751.13,Activo
100028.0,-544,8342.19,Activo
100028.0,-191,2764.83,Activo
100029.0,-2617,257133.8,Cerrado
100029.0,-1357,22548.02,Activo
100030.0,-2222,222369.36,Cerrado
100030.0,-538,192614.28,Activo
100030.0,-2114,168867.53,Cerrado
100031.0,-121,147397.6,Activo
100031.0,-1964,126222.78,Activo
100032.0,-826,7501.7,Activo
100032.0,-175,9837.98,Cerrado
100032.0,-468,5982.84,Activo
100032.0,-312,3708.3,Cerrado
100032.0,-840,8348.03,Activo
100033.0,-734,14115.85,Cerrado
100033.0,-340,1805.75,Activo
100033.0,-892,7247.31,Cerrado
100033.0,-145,5251.71,Activo
100033.0,-719,3112.99,Cerrado
100033.0,-214,5850.32,Activo
100033.0,-176,6570.53,Activo
100034.0,-455,6383.13,Activo
100034.0,-678,12076.26,Activo
100034.0,-876,8492.91,Cerrado
100034.0,-90,6340.27,Cerrado
100034.0,-264,11417.45,Cerrado
100034.0,-701,9626.69,Cerrado
100034.0,-760,5261.54,Cerrado
100034.0,-627,7795.96,Cerrado
100035.0,-870,1300.71,Activo
100035.0,-46,8401.29,Activo
100035.0,-319,3164.63,Cerrado
100035.0,-282,3986.68,Cerrado
100035.0,-70,12693.4,Cerrado
100035.0,-839,10492.39,Activo
100035.0,-216,3086.14,Activo
100036.0,-235,96629.73,Cerrado
100036.0,-577,79213.44,Cerrado
100037.0,-454,3946.25,Activo
100037.0,-759,4202.89,Activo
100037.0,-933,8678.59,Cerrado
100037.0,-738,11313.03,Activo
100037.0,-66,11142.16,Activo
100038.0,-909,11096.86,Activo
100038.0,-172,6718.73,Activo
100038.0,-923,9752.62,Cerrado
100038.0,-844,2271.96,Activo
100038.0,-397,13109.83,Activo
100038.0,-604,2303.0,Cerrado
100038.0,-194,14815.98,Cerrado
100039.0,-301,7029.62,Activo
100039.0,-385,14618.38,Cerrado
100039.0,-415,10143.55,Cerrado
100039.0,-923,11960.34,Activo
100040.0,-733,65190.31,Cerrado
100041.0,-571,2906.75,Activo
100041.0,-229,10354.1,Activo
100041.0,-525,9501.84,Activo
100041.0,-40,8660.91,Activo
100041.0,-412,6340.53,Cerrado
100041.0,-965,3051.73,Activo
100042.0,-940,7787.01,Cerrado
100042.0,-446,6496.17,Cerrado
100042.0,-518,12659.35,Cerrado
100042.0,-749,5345.02,Cerrado
100042.0,-521,3037.07,Cerrado
100042.0,-142,10135.29,Cerrado
100043.0,-825,1371.55,Cerrado
