ID_CLIENTE,DIAS_VENCIMIENTO,DIAS_PAGO_REAL,MONTO_CUOTA_MXN,MONTO_PAGADO_MXN
100000,-30,-34,2632.06,2632.06
100000,-60,-56,2947.69,2947.69
100000,-90,-86,815.15,815.15
100000,-120,-120,2402.19,2402.19
100000,-150,-151,2509.76,2509.76
100000,-180,-185,2149.85,2149.85
100000,-210,-208,1927.28,963.64
100000,-240,-242,1608.95,1608.95
100000,-270,-263,2690.77,1345.39
100000,-300,-301,1382.36,1382.36
100000,-330,-317,2025.44,2025.44
100001,-30,-29,2984.77,2984.77
100001,-60,-55,783.82,783.82
100001,-90,-81,1420.43,1420.43
100001,-120,-119,1068.64,1068.64
100001,-150,-149,2921.69,2921.69
100002,-30,-35,1659.72,1659.72
100002,-60,-61,2962.03,2962.03
100002,-90,-89,2725.07,2725.07
100002,-120,-123,2052.78,2052.78
100002,-150,-149,2410.68,1205.34
100002,-180,-183,2722.34,2722.34
100002,-210,-215,2582.09,2582.09
100002,-240,-241,919.11,919.11
100002,-270,-273,919.28,919.28
100002,-300,-302,2273.8,2273.8
100002,-330,-333,1724.47,1724.47
100002,-360,-359,1722.25,1722.25
100002,-390,-393,994.29,994.29
100002,-420,-425,1084.74,1084.74
100003,-30,-29,2071.64,2071.64
100003,-60,-57,2855.16,2855.16
100003,-90,-88,880.6,880.6
100003,-120,-114,1250.35,1250.35
100003,-150,-140,1003.24,1003.24
100003,-180,-178,1487.72,743.86
100003,-210,-210,2408.29,2408.29
100003,-240,-234,882.66,882.66
100003,-270,-269,2366.11,2366.11
100003,-300,-305,1413.55,1413.55
100003,-330,-331,926.53,926.53
100003,-360,-364,2330.97,2330.97
100003,-390,-391,2029.69,2029.69
100003,-420,-414,1434.47,1434.47
100003,-450,-446,1571.01,785.5
100003,-480,-474,1814.91,1814.91
100003,-510,-504,2160.1,1080.05
100003,-540,-543,630.93,315.46
100003,-570,-564,683.07,683.07
100003,-600,-586,1351.75,1351.75
100003,-630,-629,2985.15,2985.15
100003,-660,-661,516.75,516.75
100003,-690,-682,2934.85,2934.85
100004,-30,-18,1323.32,1323.32
100004,-60,-61,2064.81,2064.81
100004,-90,-93,944.1,944.1
100004,-120,-124,2365.12,2365.12
100004,-150,-140,1457.72,728.86
100004,-180,-177,2405.1,2405.1
100004,-210,-199,2277.09,2277.09
100004,-240,-239,1385.26,1385.26
100004,-270,-268,1859.35,1859.35
100004,-300,-288,1549.16,1549.16
100004,-330,-325,1124.69,1124.69
100004,-360,-364,1447.35,1447.35
100004,-390,-395,1382.26,1382.26
100004,-420,-425,2830.59,2830.59
100004,-450,-455,2871.65,1435.82
100004,-480,-466,1614.03,1614.03
100004,-510,-506,1645.78,1645.78
100004,-540,-528,1613.52,1613.52
100004,-570,-575,1357.05,1357.05
100004,-600,-599,1843.91,1843.91
100004,-630,-633,874.0,874.0
100004,-660,-659,2849.33,1424.66
100005,-30,-33,825.02,825.02
100005,-60,-63,1644.53,1644.53
100005,-90,-91,1444.72,1444.72
100005,-120,-123,1256.89,1256.89
100005,-150,-154,1814.15,1814.15
100005,-180,-185,2492.57,2492.57
100005,-210,-209,875.98,875.98
100005,-240,-239,827.8,827.8
100005,-270,-274,2558.83,2558.83
100005,-300,-303,1008.12,1008.12
100005,-330,-332,1383.9,1383.9
100005,-360,-364,2735.15,2735.15
100005,-390,-393,1740.83,1740.83
100005,-420,-425,2959.48,2959.48
100005,-450,-454,1458.0,729.0
100005,-480,-479,708.39,708.39
100005,-510,-510,2750.91,2750.91
100005,-540,-540,2889.58,1444.79
100005,-570,-574,2611.86,2611.86
100005,-600,-605,873.88,873.88
100005,-630,-632,1167.34,1167.34
100005,-660,-659,1102.0,1102.0
100006,-30,-27,1071.36,1071.36
100006,-60,-53,542.9,542.9
100006,-90,-84,865.81,432.91
100006,-120,-110,546.32,546.32
100006,-150,-154,2064.9,1032.45
100006,-180,-166,2318.04,2318.04
100006,-210,-212,1445.75,1445.75
100006,-240,-241,1969.36,1969.36
100006,-270,-275,1728.29,864.14
100006,-300,-291,2052.58,2052.58
100006,-330,-324,1643.69,1643.69
100006,-360,-346,859.7,859.7
100006,-390,-391,1150.2,1150.2
100007,-30,-33,1385.16,692.58
100007,-60,-62,906.82,906.82
100007,-90,-91,1558.5,1558.5
100007,-120,-120,2801.86,2801.86
100007,-150,-150,533.31,533.31
100007,-180,-184,2136.73,2136.73
100007,-210,-212,2786.08,2786.08
100007,-240,-245,1529.43,1529.43
100007,-270,-273,1264.99,1264.99
100007,-300,-305,2467.02,2467.02
100007,-330,-333,589.13,589.13
100007,-360,-365,991.06,991.06
100007,-390,-391,2441.74,2441.74
100007,-420,-425,1128.08,1128.08
100007,-450,-452,1131.86,1131.86
100007,-480,-483,2362.64,2362.64
100007,-510,-510,1743.09,1743.09
100007,-540,-543,2064.23,2064.23
100007,-570,-571,1020.44,1020.44
100008,-30,-32,553.38,553.38
100008,-60,-63,2146.73,1073.36
100008,-90,-90,1373.64,1373.64
100008,-120,-124,2162.35,2162.35
100008,-150,-152,1892.47,1892.47
100009,-30,-30,1223.23,1223.23
100009,-60,-63,2862.55,2862.55
100009,-90,-91,1359.71,1359.71
100009,-120,-119,2692.68,2692.68
100009,-150,-149,2747.13,2747.13
100009,-180,-183,2684.73,2684.73
100010,-30,-24,2471.94,2471.94
100010,-60,-60,923.6,923.6
100010,-90,-89,1998.5,1998.5
100010,-120,-125,1030.86,1030.86
100010,-150,-138,2103.11,2103.11
100010,-180,-180,2313.44,2313.44
100010,-210,-207,808.54,808.54
100010,-240,-237,1061.59,1061.59
100010,-270,-269,2623.28,2623.28
100010,-300,-297,986.55,986.55
100010,-330,-329,1169.5,1169.5
100010,-360,-364,786.89,786.89
100010,-390,-382,929.96,464.98
100010,-420,-423,2552.49,2552.49
100010,-450,-453,2961.06,2961.06
100010,-480,-480,2093.48,2093.48
100010,-510,-512,854.44,854.44
100011,-30,-32,1621.55,1621.55
100011,-60,-65,1407.79,1407.79
100011,-90,-86,1298.7,1298.7
100011,-120,-123,1696.96,848.48
100011,-150,-154,2716.29,1358.15
100011,-180,-172,2248.82,2248.82
100011,-210,-205,1867.62,1867.62
100011,-240,-240,1669.14,1669.14
100011,-270,-269,1238.9,619.45
100011,-300,-300,1290.54,1290.54
100011,-330,-329,2687.99,2687.99
100011,-360,-362,1508.38,754.19
100012,-30,-32,2587.98,2587.98
100012,-60,-62,1762.2,1762.2
100012,-90,-94,2444.76,2444.76
100012,-120,-113,1534.32,1534.32
100012,-150,-145,1555.03,777.52
100012,-180,-171,1062.7,1062.7
100012,-210,-213,701.89,701.89
100012,-240,-242,2947.81,2947.81
100012,-270,-271,2066.15,2066.15
100012,-300,-286,2553.73,2553.73
100012,-330,-334,2185.49,2185.49
100012,-360,-359,1195.91,597.96
100012,-390,-382,1666.84,1666.84
100012,-420,-422,1515.21,1515.21
100012,-450,-454,1750.53,1750.53
100012,-480,-466,1353.58,1353.58
100012,-510,-500,747.54,747.54
100012,-540,-530,2175.61,2175.61
100013,-30,-29,773.7,773.7
100013,-60,-63,1594.26,1594.26
100013,-90,-93,839.67,839.67
