ID_CLIENTE,TARGET,FLAG_INFORMAL,INGRESO_NOMINAL_MXN,INGRESO_REAL_AJUSTADO_MXN,MONTO_CREDITO_MXN,SCORE_EXTERNO_1,SCORE_EXTERNO_2,EDAD_ANIOS
100000,0,1,5450.72,5240.07,449670.93,0.5487,0.5332,38
100001,0,1,6752.24,6491.29,319736.16,0.7202,0.4066,24
100002,0,0,26923.25,25882.76,40216.51,0.3946,0.8555,62
100003,0,1,5000.0,4806.77,284486.54,0.3719,0.3278,51
100004,1,1,11017.98,10592.18,329810.1,0.761,0.1576,60
100005,0,0,26592.78,25565.07,415340.95,0.3261,0.8776,53
100006,0,1,8296.08,7975.47,458517.59,0.1623,0.125,54
100007,0,0,26252.33,25237.77,478301.73,0.7356,0.1729,62
100008,0,0,27122.42,26074.23,101921.56,0.6396,0.3813,38
100009,0,0,23480.95,22573.5,40661.44,0.4312,0.2515,30
100010,0,1,14791.82,14220.17,89714.36,0.4045,0.3295,34
100011,0,1,20090.43,19314.01,80471.6,0.4199,0.5447,62
100012,0,1,6706.83,6447.63,413383.59,0.1254,0.4339,19
100013,0,0,23130.43,22236.52,234787.31,0.1645,0.691,62
100014,0,1,7911.48,7605.73,203951.03,0.778,0.3428,40
100015,0,1,13222.98,12711.96,287923.22,0.8692,0.1234,60
100016,0,0,29538.06,28396.52,441666.65,0.7213,0.877,55
100017,0,1,14453.68,13895.1,307974.79,0.122,0.0806,30
100018,0,0,20891.36,20083.99,348503.45,0.4659,0.5987,51
100019,0,0,26600.5,25572.49,65656.66,0.8791,0.1922,60
100020,0,1,19703.51,18942.04,451309.24,0.669,0.4379,48
100021,0,1,11773.47,11318.47,148017.44,0.1611,0.2732,29
100022,0,1,18814.28,18087.18,39592.63,0.8164,0.7058,29
100023,0,0,31080.58,29879.43,215595.98,0.6711,0.7816,52
100024,0,1,19592.06,18834.89,102021.83,0.4604,0.5407,45
100025,0,0,23259.44,22360.55,200040.5,0.5107,0.4086,42
100026,1,1,10111.51,9720.74,99236.34,0.5222,0.2071,25
100027,0,1,6882.4,6616.42,165801.99,0.1279,0.2237,40
100028,0,1,20459.19,19668.51,120683.52,0.2733,0.6053,23
100029,0,0,22639.12,21764.2,90384.29,0.2248,0.7952,19
100030,0,0,22645.96,21770.77,169880.71,0.3287,0.5613,62
100031,0,0,26696.05,25664.34,488187.29,0.4967,0.6711,33
100032,0,1,21856.46,21011.79,429717.54,0.4149,0.3209,49
100033,0,1,15583.01,14980.79,366656.62,0.529,0.2933,53
100034,0,1,11835.31,11377.92,93914.41,0.7514,0.695,42
100035,0,1,8788.87,8449.21,330264.58,0.6107,0.5035,22
100036,0,0,22810.58,21929.03,372934.41,0.4061,0.5469,60
100037,0,1,10940.01,10517.22,105966.36,0.1875,0.3475,49
100038,0,1,14647.06,14081.01,399898.89,0.7596,0.7079,53
100039,0,1,15292.05,14701.07,358376.06,0.8904,0.3839,58
100040,0,0,31236.23,30029.06,266780.45,0.2541,0.3175,49
100041,0,1,6158.11,5920.12,58508.68,0.7977,0.3256,32
100042,0,1,15079.51,14496.74,482803.73,0.6611,0.4588,31
100043,0,1,5000.0,4806.77,429418.18,0.8174,0.5094,61
100044,0,1,8816.55,8475.83,50550.59,0.2484,0.3345,48
100045,0,1,20297.89,19513.45,382645.24,0.1376,0.2477,64
100046,0,0,27152.15,26102.82,249881.93,0.6461,0.8254,41
100047,0,0,26144.56,25134.17,136767.71,0.4475,0.1469,29
100048,0,0,22764.35,21884.59,88376.29,0.4646,0.1542,63
100049,1,1,9651.99,9278.98,255361.21,0.3087,0.6753,45
100050,0,1,18166.12,17464.07,120178.66,0.2695,0.1771,32
100051,0,0,25344.8,24365.31,431631.23,0.8432,0.2777,47
100052,1,1,11826.86,11369.79,212013.33,0.3504,0.3406,41
100053,0,1,9837.86,9457.66,323234.05,0.5785,0.1838,28
100054,0,1,12161.09,11691.11,436091.44,0.3565,0.3281,25
100055,0,0,24000.33,23072.81,127984.46,0.1543,0.1874,23
100056,0,0,25635.85,24645.12,255416.46,0.8849,0.3057,36
100057,0,1,11474.4,11030.96,321484.64,0.5342,0.4661,36
100058,0,1,17638.44,16956.78,327823.55,0.2025,0.549,52
100059,0,0,23202.26,22305.58,36061.24,0.2714,0.194,38
100060,0,0,23065.32,22173.92,489597.36,0.2728,0.3898,45
100061,0,0,25346.33,24366.79,284853.37,0.3129,0.6141,20
100062,0,0,26394.67,25374.61,370825.01,0.2415,0.8424,18
100063,0,1,6718.25,6458.61,478890.67,0.6265,0.5477,43
100064,0,0,32326.83,31077.51,483678.86,0.7085,0.2539,41
100065,0,0,26278.38,25262.82,321708.04,0.5794,0.3625,54
100066,1,1,18271.25,17565.14,242099.82,0.8328,0.1876,51
100067,0,0,23778.59,22859.63,353486.84,0.7585,0.6757,62
100068,0,1,14448.66,13890.28,181545.45,0.7684,0.3199,50
100069,0,1,24143.91,23210.83,241653.36,0.7056,0.368,37
100070,1,1,15964.48,15347.51,432904.33,0.4161,0.5282,25
100071,0,1,15045.67,14464.21,145134.69,0.6466,0.6116,39
100072,0,1,5000.0,4806.77,195310.29,0.8176,0.1451,35
100073,0,1,18631.97,17911.91,400108.2,0.2309,0.5363,34
100074,0,1,8499.24,8170.77,447396.13,0.2172,0.2376,39
100075,0,0,22931.13,22044.92,134770.82,0.7883,0.3824,42
100076,0,1,13325.3,12810.33,406598.19,0.8962,0.2073,45
100077,0,1,7344.63,7060.79,118903.1,0.7387,0.4883,38
100078,0,0,29295.49,28163.33,44629.93,0.3221,0.3924,37
100079,0,0,27048.3,26002.98,285783.92,0.6347,0.3474,44
100080,0,1,12848.47,12351.92,115091.22,0.4397,0.1349,41
100081,0,0,26756.1,25722.07,428639.74,0.1154,0.8968,41
100082,0,0,21797.57,20955.18,206567.13,0.423,0.8741,53
100083,0,0,22634.58,21759.84,287732.84,0.5734,0.1729,27
100084,1,1,5000.0,4806.77,226906.99,0.1555,0.3529,28
100085,0,1,7316.0,7033.26,15823.55,0.5215,0.509,44
100086,0,1,16876.56,16224.35,323447.97,0.1695,0.0818,38
100087,0,0,26790.06,25754.72,137012.72,0.5135,0.5739,50
100088,0,0,23215.35,22318.16,411392.5,0.78,0.2709,21
100089,0,1,21098.09,20282.72,368378.32,0.4612,0.6775,49
100090,0,0,22471.18,21602.75,201017.28,0.2076,0.6935,37
100091,0,0,30149.58,28984.4,373069.59,0.4563,0.7456,60
100092,0,0,23102.49,22209.67,428973.42,0.215,0.7986,39
100093,0,1,10783.61,10366.86,314961.98,0.5974,0.4048,38
100094,0,0,24165.3,23231.4,271555.36,0.719,0.3541,46
100095,0,0,30552.57,29371.82,29334.86,0.7844,0.1186,25
100096,0,0,19826.33,19060.12,153717.47,0.3128,0.3376,31
100097,0,0,25618.54,24628.48,402158.98,0.4687,0.4591,19
100098,0,0,23398.97,22494.69,266092.08,0.7703,0.2311,28
100099,0,1,12934.52,12434.64,397776.63,0.6243,0.7199,27
100100,0,0,29899.94,28744.42,298070.92,0.8398,0.3871,20
100101,0,1,5000.0,4806.77,231683.41,0.2648,0.3143,51
