ID_CLIENTE,MES_BALANCE,SALDO_TDC_MXN,LIMITE_CREDITO_MXN
103846,-12,11435.7,31041.52
103846,-11,12334.46,31041.52
103846,-10,12751.99,31041.52
103846,-9,11823.29,31041.52
103846,-8,13880.66,31041.52
103846,-7,13313.63,31041.52
103846,-6,12871.33,31041.52
103846,-5,13520.37,31041.52
103846,-4,13925.28,31041.52
103846,-3,12563.59,31041.52
103846,-2,12603.93,31041.52
103846,-1,13401.93,31041.52
104897,-12,15171.54,39500.41
104897,-11,14404.01,39500.41
104897,-10,17024.15,39500.41
104897,-9,14952.22,39500.41
104897,-8,17720.93,39500.41
104897,-7,14790.97,39500.41
104897,-6,14661.6,39500.41
104897,-5,16241.04,39500.41
104897,-4,15839.3,39500.41
104897,-3,15009.93,39500.41
104897,-2,16879.19,39500.41
104897,-1,16211.63,39500.41
104928,-12,8169.16,20743.26
104928,-11,8606.65,20743.26
104928,-10,8740.38,20743.26
104928,-9,8679.29,20743.26
104928,-8,8787.89,20743.26
104928,-7,8239.77,20743.26
104928,-6,8615.22,20743.26
104928,-5,8782.85,20743.26
104928,-4,8834.14,20743.26
104928,-3,8801.5,20743.26
104928,-2,9389.35,20743.26
104928,-1,8214.12,20743.26
102552,-12,5770.01,13426.26
102552,-11,5597.13,13426.26
102552,-10,5683.75,13426.26
102552,-9,4955.24,13426.26
102552,-8,5977.48,13426.26
102552,-7,5536.89,13426.26
102552,-6,5343.05,13426.26
102552,-5,5103.09,13426.26
102552,-4,5195.18,13426.26
102552,-3,5773.66,13426.26
102552,-2,5226.56,13426.26
102552,-1,5591.56,13426.26
104314,-12,10317.42,25065.79
104314,-11,10118.47,25065.79
104314,-10,9385.65,25065.79
104314,-9,9748.03,25065.79
104314,-8,9232.15,25065.79
104314,-7,10339.62,25065.79
104314,-6,10357.01,25065.79
104314,-5,11003.05,25065.79
104314,-4,11094.81,25065.79
104314,-3,9836.21,25065.79
104314,-2,11155.79,25065.79
104314,-1,11400.52,25065.79
100368,-12,13043.18,31658.18
100368,-11,12758.99,31658.18
100368,-10,12149.32,31658.18
100368,-9,11790.18,31658.18
100368,-8,13121.64,31658.18
100368,-7,12820.44,31658.18
100368,-6,14170.78,31658.18
100368,-5,11877.53,31658.18
100368,-4,12305.89,31658.18
