ID_CLIENTE,TIPO_CREDITO,MONTO_SOLICITADO_MXN,SALDO_EN_UDIS,ESTADO_SOLICITUD
100000,Hipotecario,1272642.79,145588.53,Aprobado
100000,Consumo,941860.53,,Aprobado
100000,Consumo,414651.84,,Aprobado
100001,Consumo,1083480.03,,Aprobado
100002,Consumo,1102264.72,,Aprobado
100002,Hipotecario,1232003.4,140939.44,Aprobado
100003,Hipotecario,465860.37,53293.77,Aprobado
100003,Auto,723602.11,,Aprobado
100003,Auto,1391939.87,,Aprobado
100004,Consumo,1463343.08,,Cancelado
100005,Auto,500822.47,,Aprobado
100005,Consumo,1028975.66,,Cancelado
100006,Consumo,1137589.69,,Aprobado
100006,Hipotecario,223580.04,25577.24,Rechazado
100006,Hipotecario,422632.49,48348.56,Aprobado
100007,Auto,555152.34,,Cancelado
100008,Hipotecario,196200.64,22445.07,Aprobado
100008,Hipotecario,1390585.82,159081.05,Aprobado
100009,Auto,659599.52,,Aprobado
100010,Consumo,1387082.4,,Aprobado
100011,Hipotecario,176335.16,20172.49,Aprobado
100011,Hipotecario,726910.28,83157.51,Rechazado
100011,Consumo,224308.42,,Aprobado
100012,Hipotecario,404313.13,46252.85,Aprobado
100012,Consumo,1177692.5,,Aprobado
100013,Auto,420470.56,,Rechazado
100014,Consumo,642292.24,,Aprobado
100014,Hipotecario,199908.43,22869.24,Aprobado
100014,Consumo,652566.76,,Aprobado
100015,Auto,414420.32,,Aprobado
100015,Hipotecario,112690.42,12891.62,Aprobado
100016,Consumo,1041595.05,,Aprobado
100017,Consumo,613954.87,,Aprobado
100018,Auto,463260.64,,Aprobado
100018,Auto,565360.69,,Aprobado
100019,Hipotecario,1383508.08,158271.36,Aprobado
100019,Auto,685112.4,,Aprobado
100019,Consumo,39576.02,,Aprobado
100020,Auto,1440208.63,,Aprobado
100020,Consumo,941630.53,,Aprobado
100020,Hipotecario,340888.11,38997.12,Aprobado
100021,Consumo,567473.98,,Aprobado
100021,Auto,1482933.02,,Rechazado
100022,Consumo,173708.31,,Aprobado
100022,Consumo,1217031.61,,Aprobado
100023,Consumo,1311366.52,,Aprobado
100023,Consumo,820559.26,,Aprobado
100024,Hipotecario,1331182.39,152285.38,Aprobado
100024,Hipotecario,893918.21,102262.98,Aprobado
100024,Consumo,36318.3,,Cancelado
100025,Consumo,1477274.75,,Aprobado
100025,Consumo,677820.05,,Aprobado
100025,Consumo,306948.45,,Cancelado
100026,Consumo,199721.26,,Rechazado
100026,Consumo,88480.39,,Rechazado
100027,Consumo,858420.71,,Aprobado
100027,Auto,301962.38,,Aprobado
100028,Consumo,494597.03,,Aprobado
100028,Hipotecario,793191.98,90740.04,Aprobado
100029,Consumo,319161.51,,Aprobado
100029,Consumo,911460.7,,Rechazado
100030,Auto,1147680.02,,Aprobado
100031,Hipotecario,1100205.68,125861.97,Rechazado
100031,Auto,131210.92,,Aprobado
100032,Auto,383448.32,,Aprobado
100032,Auto,973954.92,,Rechazado
100033,Hipotecario,897937.72,102722.8,Rechazado
100034,Auto,672012.99,,Aprobado
100034,Auto,843226.96,,Rechazado
100034,Auto,89884.63,,Rechazado
100035,Hipotecario,856224.91,97950.92,Aprobado
100035,Consumo,1084195.3,,Cancelado
100036,Hipotecario,254888.16,29158.84,Aprobado
100036,Consumo,141024.36,,Aprobado
100037,Consumo,564364.5,,Aprobado
100038,Consumo,1426999.34,,Aprobado
100038,Consumo,832180.53,,Aprobado
100039,Hipotecario,300933.05,34426.31,Aprobado
100039,Auto,1253473.49,,Aprobado
100039,Consumo,1034372.8,,Aprobado
100040,Hipotecario,879245.42,100584.43,Aprobado
100040,Auto,191710.26,,Aprobado
100041,Consumo,364183.29,,Aprobado
100041,Auto,430161.74,,Aprobado
100041,Consumo,913722.89,,Aprobado
100042,Hipotecario,819218.68,93717.46,Aprobado
100042,Hipotecario,1157879.66,132459.79,Aprobado
100043,Consumo,1012639.58,,Aprobado
100043,Hipotecario,450045.85,51484.61,Aprobado
100043,Auto,270908.85,,Aprobado
100044,Hipotecario,273460.97,31283.55,Aprobado
100044,Hipotecario,221871.28,25381.76,Aprobado
100045,Consumo,886541.99,,Aprobado
100045,Hipotecario,1471221.29,168305.63,Aprobado
100045,Consumo,756783.67,,Aprobado
100046,Auto,1114506.28,,Rechazado
100046,Consumo,778816.73,,Aprobado
100047,Consumo,1311329.3,,Cancelado
100047,Consumo,511487.44,,Aprobado
100047,Auto,1365162.31,,Cancelado
100048,Auto,849114.68,,Aprobado
100048,Auto,794642.34,,Rechazado
100048,Consumo,331983.64,,Aprobado
100049,Auto,1061401.57,,Rechazado
100050,Hipotecario,122528.07,14017.04,Aprobado
100050,Auto,1447532.67,,Aprobado
100050,Auto,1463419.92,,Cancelado
100051,Consumo,782935.58,,Rechazado
100052,Consumo,483258.99,,Rechazado
100052,Consumo,1002844.92,,Aprobado
100053,Consumo,1219138.8,,Aprobado
100053,Hipotecario,1307502.72,149576.46,Cancelado
100054,Auto,1490954.56,,Aprobado
100054,Hipotecario,293180.2,33539.4,Rechazado
100054,Consumo,1297845.46,,Aprobado
100055,Auto,1102074.66,,Aprobado
100055,Auto,623437.77,,Cancelado
100056,Consumo,1133613.56,,Aprobado
100057,Auto,793511.7,,Cancelado
100058,Consumo,994029.65,,Rechazado
100058,Auto,855139.77,,Aprobado
100059,Hipotecario,1361630.47,155768.6,Cancelado
100060,Auto,831809.41,,Rechazado
100060,Hipotecario,418178.29,47839.0,Aprobado
100061,Consumo,760419.95,,Aprobado
100062,Auto,403089.77,,Rechazado
100062,Hipotecario,390158.93,44633.63,Rechazado
100062,Auto,762864.1,,Aprobado
100063,Consumo,343282.67,,Aprobado
100064,Hipotecario,338235.28,38693.64,Rechazado
100065,Hipotecario,24579.02,2811.81,Aprobado
100066,Consumo,1211852.63,,Aprobado
100066,Consumo,380910.24,,Aprobado
100067,Auto,994582.88,,Aprobado
100067,Consumo,351751.56,,Aprobado
100067,Consumo,1012388.4,,Aprobado
100068,Hipotecario,351724.86,40236.83,Aprobado
100068,Auto,427134.4,,Aprobado
100069,Hipotecario,1304087.46,149185.76,Rechazado
100069,Consumo,1428649.76,,Aprobado
100070,Hipotecario,270751.42,30973.58,Aprobado
100070,Auto,1293568.38,,Aprobado
100070,Consumo,337752.66,,Aprobado
100071,Hipotecario,1134470.11,129781.77,Rechazado
100072,Hipotecario,294334.12,33671.41,Aprobado
100072,Consumo,1391351.44,,Aprobado
100072,Consumo,1037883.29,,Aprobado
100073,Hipotecario,256076.22,29294.76,Aprobado
100074,Hipotecario,443504.02,50736.23,Cancelado
100075,Hipotecario,278786.06,31892.73,Aprobado
100076,Consumo,1021178.11,,Aprobado
100076,Consumo,429562.18,,Aprobado
100076,Consumo,1383976.44,,Rechazado
100077,Consumo,1193588.84,,Aprobado
100078,Hipotecario,1381661.25,158060.09,Cancelado
100079,Hipotecario,1211145.94,138553.38,Rechazado
100079,Hipotecario,127751.04,14614.54,Rechazado
100080,Auto,1488609.95,,Cancelado
100080,Auto,263351.84,,Aprobado
100080,Hipotecario,167025.77,19107.51,Aprobado
100081,Consumo,816385.89,,Aprobado
100082,Consumo,900199.27,,Rechazado
100083,Auto,593113.47,,Aprobado
100083,Hipotecario,453261.44,51852.47,Rechazado
100083,Auto,1350419.58,,Aprobado
100084,Consumo,867320.61,,Rechazado
100085,Consumo,439624.82,,Aprobado
100085,Auto,1366680.45,,Aprobado
100085,Consumo,1499178.88,,Cancelado
100086,Consumo,1017890.63,,Aprobado
100086,Auto,529498.85,,Aprobado
100086,Hipotecario,856268.3,97955.88,Aprobado
100087,Auto,365713.0,,Aprobado
100087,Auto,693111.75,,Cancelado
100087,Consumo,1405430.27,,Aprobado
100088,Consumo,239134.36,,Aprobado
100088,Auto,210757.55,,Aprobado
